Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.12171883333346341,1100,,,,-0.04928385416666667,0.050520833333333334,-0.9707682291666667,0.0042874512100113515,0.2069390280707092,22.8205106670654,0.09353069601707327,760,0,2.134418001236352,0.3411660071330164,15.992032821680656,0.6066817095851594,0.09701286451281567,0.066015625,,
0.12066999999973922,1200,,,,-0.04583333333333333,0.04602864583333333,-0.9779947916666667,0.0223836757858556,0.9155709760241452,22.81273400089916,0.3162232026125083,1579,0,7.213915942503966,3.7010458655683336,51.303664096956865,0.24737141389536885,0.12691314100717516,0.12942708333333333,,
3.3752823333330144,1300,,,,-0.049609375,0.039388020833333336,-0.9695963541666667,0.05376767670549494,1.9870992379984922,22.794345809475114,0.8306423471255858,2339,0,18.933947591567804,13.17216522148794,69.5720504508616,0.15088310899429322,0.10495905944192038,0.19954427083333334,,
6.63635699999972,1400,,,,-0.0419921875,0.041015625,-0.9752604166666666,0.08628659412678022,3.6502586336387495,22.762187791922607,1.6053967047994724,3045,0,36.54234100428257,27.51299765849833,75.29101340293985,0.1326740592988137,0.09989158408750906,0.21197916666666666,,
9.88863899999975,1500,,,,-0.04375,0.046875,-0.9768229166666667,0.1269019784890541,5.48982094129087,22.711964742342385,2.770555804829783,3682,0,62.92476618540637,48.92995773094821,77.75967075490851,0.11219761638238343,0.08724435705926238,0.5449869791666667,,
13.147236999999734,1600,,,,-0.046549479166666664,0.03567708333333333,-0.9878255208333333,0.1707917665662875,7.434210988885156,22.64755917631515,4.342046545229601,4265,0,98.33675419550613,76.27656094501194,77.56689998146156,0.09746449569365716,0.07559973773874984,0.7654947916666667,,
16.398669999999775,1700,,,,-0.1482421875,0.0498046875,-0.99140625,0.21833682018665931,9.431506614011267,22.5657731270406,6.284557053517444,4806,0,141.81588477366128,109.87649292494534,77.47834257795583,0.08583810674595846,0.06650539412563014,1.2451822916666666,,
19.660764999999678,1800,,,,-0.150390625,0.07916666666666666,-0.9777994791666667,0.2696329554648421,11.576769083985774,22.461871204304163,8.70524219543661,5322,0,195.53602602416356,150.26576633154906,76.84860792409285,0.07704344135254654,0.05920549361373018,1.6513020833333334,,
22.91773066666635,1900,,,,-0.08092447916666666,0.039322916666666666,-0.98515625,0.3237060689939072,13.960330667463476,22.3352425336691,11.733025331769948,5779,0,262.0599578390339,195.90751602304437,74.75704925686503,0.07126041908589803,0.053271704228933334,1.8721354166666666,,
26.164797166666393,2000,,,,-0.12330729166666667,0.078515625,-0.9725911458333333,0.3456890001038004,14.74660529287725,22.26755425672504,13.117550461901994,5947,0,292.0957566006226,215.30169672107266,73.70935858151537,0.0684935637471322,0.05048557505188039,1.5256510416666667,,
29.41982049999974,2000,,,,-0.06770833333333333,0.038802083333333334,-0.994140625,0.34458109937065245,14.665969582470632,22.258972441197475,13.017599418297543,5952,0,289.7583849692008,214.78025028097915,74.12390563505065,0.06828404043338894,0.05061448356307726,1.6143880208333334,,
