Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.12421733333375305,1100,,,,-0.052083333333333336,0.058203125,-0.9772135416666666,0.013706485259190495,-0.208119027180737,22.625892124987963,0.09760641150952173,755,0,2.2084315652526088,1.0840310755917877,49.17340808609904,0.19374958429232478,0.0942829651818666,0.094140625,,
0.12116549999999503,1200,,,,-0.06354166666666666,0.011393229166666666,-0.9591145833333333,0.007534788130861034,-0.8261065651140943,22.61893502231649,0.29627464549072013,1578,0,6.701417028943991,1.2451491911602928,18.563463522213492,0.7132440219770534,0.12335071807616013,0.503515625,,
3.376041333333403,1300,,,,-0.042708333333333334,0.044596354166666664,-0.9856770833333334,0.04952396471329464,-2.1168476449415614,22.60092337217335,0.7646052473362239,2342,0,17.280784050319525,12.144723221702009,70.27808585781246,0.17442201182254083,0.12250006643268575,0.33795572916666666,,
6.6376578333333445,1400,,,,-0.04583333333333333,0.024153645833333334,-0.9961588541666667,0.08072557540371252,-4.04184005119902,22.5701099020769,1.5368714704121944,3042,0,34.687357483192976,25.711718066730892,74.1244496686436,0.15719882382977554,0.11652285722737321,0.3625,,
9.897067666666617,1500,,,,-0.042708333333333334,0.08248697916666667,-0.9857421875,0.11571761364674774,-5.9895335162084065,22.52768520207013,2.5915760119823887,3693,0,58.3822093052881,44.749167928706434,76.64902157443642,0.1338469041879184,0.10259221852795886,0.4549479166666667,,
13.154655166666679,1600,,,,-0.06041666666666667,-0.002734375,-0.9591145833333333,0.15586008031105705,-8.13653073087062,22.46862595270375,4.007274507906951,4303,0,90.03795032446182,70.22850991710051,77.9989265675162,0.11585843097607874,0.09036793955840026,0.6337239583333333,,
16.41779933333319,1700,,,,-0.01875,0.00006510416666666667,-0.9890625,0.19652589625792974,-10.424547342079862,22.39493732880109,5.783151898784025,4849,0,129.51332428355278,99.79753027380272,77.05582863243743,0.10445745817426118,0.08049021524856032,0.7005859375,,
19.685037333333398,1800,,,,-0.13645833333333332,0.09544270833333333,-0.9550130208333333,0.24300037595527277,-12.860196135476919,22.30289537821965,7.958329675001005,5390,0,177.49378333456767,137.14748686977148,77.26908627205651,0.09376945576927748,0.07245446303577942,1.3596354166666667,,
22.946703833333338,1900,,,,-0.060807291666666666,0.0759765625,-0.986328125,0.28927155320062625,-15.498075859523896,22.191355567963505,10.682707919905345,5876,0,237.0637514874012,177.992509605186,75.08257470053687,0.08707181170270481,0.06537551165358164,1.3382161458333333,,
26.20438683333341,2000,,,,-0.05625,0.04928385416666667,-0.9794921875,0.31127742542370135,-16.564717481228623,22.134315255783108,11.86668713461498,6064,0,262.6609968136646,197.66166595934365,75.25361125880713,0.08380369045019195,0.06306508870780846,1.3391927083333333,,
29.45975149999987,2000,,,,-0.0080078125,0.0007161458333333333,-0.976171875,0.30944153416653675,-16.445603760054432,22.125596567329264,11.806499790523752,6059,0,261.2258467752896,196.33626036453632,75.15980617832705,0.08376279739829032,0.06295561791643728,1.276171875,,
32.71492433333334,1900,,,,-0.035416666666666666,0.0014973958333333334,-0.9990234375,0.28709291706275664,-15.37044978451868,22.167539480507298,10.527617505281878,5840,0,233.37137609706082,175.58825474382732,75.23992030684325,0.08753703889834231,0.06586269850013006,1.3850260416666667,,
35.97839683333326,1800,,,,-0.10592447916666667,0.084375,-0.9565755208333333,0.23872880295107932,-12.675372734743302,22.260397348788448,7.8938154415616,5343,0,175.71947003215635,133.56999930836886,76.01327977480437,0.09489736263165933,0.07213423907088905,1.1768880208333334,,
39.23619666666664,1700,,,,-0.0830078125,0.007356770833333333,-0.9820963541666666,0.19434862866613048,-10.192987905846293,22.344686988230592,5.693133511381984,4808,0,127.21128646458942,97.8588928897128,76.92628547778136,0.10416024645066828,0.08012645449510458,0.7526041666666666,,
42.49353349999997,1600,,,,-0.05455729166666667,0.059830729166666666,-0.9880859375,0.153148306524492,-7.948086062887828,22.412854400854183,3.9448036728886335,4269,0,88.41430861238398,68.4670444182472,77.43945092926988,0.11608657546505181,0.08989662063785764,0.6233723958333334,,
45.74853783333321,1500,,,,-0.05520833333333333,0.030729166666666665,-0.9729817708333334,0.11518959731251319,-5.880436225382521,22.472169182121075,2.5609872951554964,3663,0,57.55093908301281,44.189489509482165,76.78344982065838,0.13307412122927917,0.10217852040950322,0.4710286458333333,,
49.009012666666656,1400,,,,-0.046158854166666666,0.05260416666666667,-0.9880208333333333,0.07845932272437904,-3.889564631600127,22.5175122571578,1.4843694410918309,3025,0,33.42430711142633,24.856158000467882,74.36560229356259,0.15648263807740362,0.11636987236269732,0.24733072916666668,,
52.274044833333285,1300,,,,-0.06009114583333333,0.05,-0.9869140625,0.04792500670900923,-2.3219371555639143,22.550036964286743,0.764658228480335,2323,0,17.24307109738996,11.657081970003738,67.6049403673786,0.19918879955416097,0.13466176097504218,0.24759114583333333,,
55.52904666666675,1200,,,,-0.051041666666666666,0.04680989583333333,-0.9706380208333333,0.020390170846187394,-1.001077512395316,22.57290302716435,0.28845853822880624,1572,0,6.511347185791128,3.3557317275227927,51.54844569523542,0.29875761030442594,0.15374656710769008,0.11946614583333333,,
58.78062983333326,1100,,,,-0.04407552083333333,0.04635416666666667,-0.9737630208333333,0.004436953751488908,-0.19080648269809442,22.58393763291658,0.09653700845296598,755,0,2.1801846582877347,0.35069387079555525,16.141005848862044,0.5704474771854385,0.08755169309227717,0.06419270833333333,,
