Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.12054183333326753,1000,,,,-0.0625,0.0490234375,-0.9561848958333333,0.0006821568520532169,-0.017886001571269624,23.064681538097332,0.08069797675238147,0,0,1.8612731532647708,0,0,0,0,0.05859375,,
0.125529333332895,1100,,,,-0.04303385416666667,0.03209635416666667,-0.9569661458333333,0.0026119118807991877,0.04981179089073619,23.063512168237352,0.11246156260986459,802,0,2.5937586552056664,0.21925102890797782,8.455122627854633,0.22728418868442363,0.019217315010405453,0.056640625,,
3.3724763333328682,1200,,,,-0.036393229166666666,0.04095052083333333,-0.975,0.009915821835175257,0.4033741032180369,23.05967082414235,0.21578093730296238,1697,0,4.975837230897775,1.7621968729729438,35.42314303399433,0.22893771536603266,0.08107003573511701,0.08639322916666667,,
6.6236091666662125,1300,,,,-0.04791666666666667,0.04791666666666667,-0.9704427083333333,0.01999156960975091,1.0513571811308153,23.052388037780393,0.4429922705148043,2557,0,10.212029728328325,5.3536594068382355,52.431788949183165,0.19642904469717282,0.10295825730388339,0.11927083333333334,,
9.862834499999416,1400,,,,-0.04479166666666667,0.0439453125,-0.9826171875,0.03466021781979373,1.9058888647923025,23.03788258074292,0.8208324741576652,3384,0,18.910242078985984,12.284276476223708,64.961369839848,0.15514955190120217,0.10078645003010442,0.14147135416666667,,
13.10544416666621,1500,,,,-0.057291666666666664,0.04798177083333333,-0.9930989583333333,0.05282906243517901,2.961353321094088,23.01455172804165,1.3663862414133283,4184,0,31.446766222211995,23.145162493514405,73.60240667877348,0.1279470534164343,0.09417227768620258,0.18385416666666668,,
16.359438666666172,1600,,,,-0.015625,0.033984375,-0.9861979166666667,0.07278300907610787,4.175989778633971,22.984725638258794,2.1028180219860997,4938,0,48.33269544335068,37.6380025879077,77.87295308774328,0.11095178337202283,0.0864010580746113,0.4774088541666667,,
19.608812833332767,1700,,,,-0.06979166666666667,0.0359375,-0.9825520833333333,0.09589746556335804,5.555638635004504,22.943000931898688,3.0640075069776325,5653,0,70.29752550842063,56.76682740358233,80.75260506521063,0.09786772710914432,0.07903074451278565,0.6625,,
22.857117999999502,1800,,,,-0.052083333333333336,0.040690104166666664,-0.9796875,0.12217792486854298,7.0639955253822,22.88805291964854,4.320710757069816,6327,0,98.89265657139977,80.94933762347138,81.855881855904,0.08726442322948769,0.07143105630003765,0.507421875,,
26.116097166666165,1900,,,,-0.03229166666666667,0.1134765625,-0.9345703125,0.14800404850641433,8.604293251017404,22.827030267483103,5.78732391339145,6968,0,132.10741623328394,108.00400255597368,81.75490174261431,0.07966646219770694,0.06513124831164549,0.5974609375,,
29.368151666666098,2000,,,,-0.0625,0.03430989583333333,-0.9962890625,0.158496932804181,9.243019633293626,22.797233945468808,6.407071527980682,7197,0,146.06350806443507,119.450914765742,81.78013024627406,0.0773792120343895,0.06328082990299172,0.4630208333333333,,
32.6304543333328,2000,,,,-0.03984375,0.00625,-0.9974609375,0.15819996523839328,9.230978203956209,22.79046438387509,6.386201475402063,7199,0,145.54449736297764,119.25862423265411,81.93961987858619,0.07740310387216383,0.06342376279007,0.4759765625,,
35.889641666666115,1900,,,,-0.07532552083333334,0.02734375,-0.9188802083333333,0.14801672078788786,8.635269208858691,22.80805559024066,5.796472239192784,6955,0,132.20625805655976,107.79776646733681,81.5378876679882,0.08010632755204322,0.06531710495287785,0.5826171875,,
39.14556966666608,1800,,,,-0.0580078125,0.0580078125,-0.9815755208333333,0.12150119357200868,7.050493118687379,22.860194488652738,4.298581393073112,6319,0,98.26640350304586,80.40642671434397,81.82517653555053,0.08768571527143397,0.0717490016331715,0.5085286458333333,,
42.39757849999952,1700,,,,-0.06145833333333333,0.047265625,-0.98203125,0.0960608406274809,5.546733226823515,22.90676253671888,3.0587025201495046,5639,0,70.06497103790466,56.720442909716354,80.9543543800974,0.0977907516083533,0.07916584531667581,0.6631510416666667,,
45.65302033333282,1600,,,,-0.10520833333333333,0.08873697916666666,-0.9626302083333333,0.07254568714890228,4.1393131495162105,22.947167275331005,2.1020059927082277,4932,0,48.23508322892449,37.46619231722347,77.67444877280086,0.11048209960182369,0.08581567570421997,0.4693359375,,
48.90716849999953,1500,,,,-0.036458333333333336,0.02578125,-0.9783854166666667,0.052674948698957474,2.896785071295293,22.977597615693874,1.347367203923471,4182,0,30.95926116715751,23.066059720910463,74.50510927606693,0.12558656407762214,0.09356831024971926,0.1912109375,,
52.15895733333289,1400,,,,-0.0375,0.04596354166666667,-0.96875,0.0338082584299722,1.8568157872874438,23.000117331372998,0.8058508660338952,3388,0,18.53466433734985,11.993270768935654,64.70756966431956,0.1548218427316959,0.10018145052068866,0.1388671875,,
55.4130674999994,1300,,,,-0.049609375,0.0369140625,-0.9697265625,0.019360801346912683,1.0216393059378908,23.017038209611144,0.42739521278124093,2558,0,9.83737202378529,5.186173886469744,52.719118643117284,0.19701397683702113,0.103854159822599,0.10950520833333334,,
58.66011816666612,1200,,,,-0.03854166666666667,0.033984375,-0.9668619791666667,0.009775306998995446,0.3970155852675639,23.0275062540691,0.21279818603443168,1692,0,4.900211331337486,1.7317192604040943,35.34157931526887,0.22929523793371578,0.08102377430836245,0.08509114583333334,,
