Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0.12343383333322902,1100,,,,-0.034375,0.007942708333333333,-0.9748046875,0.0008251577461320595,0.01645948785483891,15.361022085940231,0.1055323798730269,0,0,1.6210855174784682,0,0,0,0,0.10716145833333333,,
0.12331766666630281,1200,,,,-0.0416015625,0.04375,-0.979296875,0.004094082645612018,0.03921986725624561,15.346006330324986,0.523605405024877,5354,0,8.03525188240409,2.2952351539290277,28.565855452901506,0.017088555173482768,0.004881049759414117,0.2154296875,,
3.379559999999777,1300,,,,-0.043684895833333334,0.0513671875,-0.9876302083333334,0.010270335571743507,0.08917369493327183,15.317714007777024,1.318948236423919,8369,0,20.203273066386455,9.000482063654207,44.55039806620492,0.00990777367122777,0.004413923705860275,0.2607421875,,
6.631200999999791,1400,,,,-0.029166666666666667,0.012760416666666666,-0.9458984375,0.018755598057063116,0.16089126570346307,15.272296656724658,2.5655282826200705,11289,0,39.18150687218064,22.17274216417104,56.592355527759274,0.0072563250736009,0.004106539732181366,0.46197916666666666,,
9.884098166666492,1500,,,,-0.12395833333333334,0.22513020833333333,-0.9955078125,0.028527352218697833,0.24888426203787592,15.202894185944253,4.280850032968007,13965,0,65.08131348220549,41.719419033520985,64.10348328651914,0.005965757912472685,0.003824231683228924,1.6088541666666667,,
13.145203833333,1600,,,,-0.012825520833333333,0.0095703125,-1.001953125,0.039810140658088224,0.36063779086972086,15.113993623167547,6.614213316383817,16363,0,99.96716589066588,68.21614465451162,68.23928114404941,0.005286712838165719,0.003607592501756899,0.663671875,,
16.399366333333152,1700,,,,0.008333333333333333,0.0474609375,-0.9858072916666667,0.051435888111657245,0.4615181205330418,15.005458200291802,9.294921385326433,18362,0,139.4745549403068,98.9041147551479,70.91185802089005,0.004673752498115396,0.003308986557906772,0.6222005208333333,,
19.656146499999707,1800,,,,-0.15104166666666666,0.05084635416666667,-0.9972005208333333,0.06457952284383241,0.5795588622344442,14.863569328438418,12.852678114716808,20636,0,191.0366573310101,139.55762273975205,73.05282977268344,0.004152840912799847,0.0030337625907501083,0.8694010416666667,,
22.91207166666637,1900,,,,-0.075,0.05123697916666667,-1.00234375,0.07652328989816225,0.7149420472117043,14.703193635774403,16.789614330810984,22632,0,246.8609407394501,181.36376075767132,73.46790695234773,0.003942060788281985,0.0028961311275643785,1.1208333333333333,,
26.162819499999816,1900,,,,-0.03854166666666667,0.009244791666666667,-0.9755859375,0.0759827342801167,0.6986837860463976,14.682862808200545,16.74024822837641,22603,0,245.794767164909,179.851174042083,73.17126632094937,0.003884806221302086,0.0028425514945779177,0.9625,,
29.415863166666316,1800,,,,-0.11770833333333333,-0.008658854166666667,-0.9616536458333333,0.06388304266504209,0.5869379427684579,14.806736886550146,12.791792267611713,20540,0,189.40469622581074,137.41168345260573,72.5492537398146,0.004271405890200096,0.003098864142086437,0.733203125,,
32.67999866666644,1700,,,,-0.0125,-0.026041666666666668,-1.0865234375,0.05068935603886012,0.466415987187575,14.925388980555857,9.258118936056347,18424,0,138.18101691211507,97.795843767949,70.77387848171671,0.004769310911175936,0.003375413204557893,0.6725260416666666,,
35.93201016666645,1600,,,,-0.2013671875,-0.024153645833333334,-1.0337239583333333,0.03797229052910881,0.3641546688915041,15.023533160927082,6.478497225249878,16274,0,97.32991755992255,64.71248512887497,66.48748191633685,0.005627612838651231,0.003741450536187322,0.7621744791666667,,
39.191318333333165,1500,,,,0.027083333333333334,0.008333333333333333,-0.9329427083333334,0.027373994863234552,0.26147257972755045,15.105836768229631,4.261078300077508,13837,0,64.3671466561139,39.66403108336861,61.62220920164577,0.006592194265082929,0.0040622429585263084,1.1983723958333334,,
42.440848833333085,1400,,,,-0.046875,0.011067708333333334,-0.94609375,0.01772210288912749,0.1677288494928251,15.174087622176588,2.499587395891385,11197,0,37.928958399660175,20.779969561955905,54.786748710979936,0.008071671582870584,0.004422194296796818,0.47272135416666666,,
45.689465833333166,1300,,,,-0.05377604166666667,0.029947916666666668,-0.9666015625,0.009550786592179738,0.09488613794098437,15.226989885754664,1.281353745771152,8349,0,19.511160646299576,8.350509787922837,42.79987808181784,0.011363443864738606,0.004863408850889959,0.2814453125,,
48.96444016666638,1200,,,,-0.05416666666666667,0.049088541666666666,-0.9811848958333333,0.00414781541056848,0.04604590180609265,15.263084382513139,0.521631535397805,5339,0,7.961704447589315,2.318989074167549,29.129655945126082,0.019858512626170166,0.005783896955916836,0.21725260416666667,,
52.21758249999974,1100,,,,-0.04479166666666667,0.05813802083333333,-0.972265625,0.000633247294570563,0.021194889635747206,15.28347079276246,0.09950589973477973,0,0,1.52079580500214,0,0,0,0,0.104296875,,
