Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.12246566666609916,1100,,,,-0.046484375,0.045703125,-0.9692057291666667,0.001657003811284647,0.06314707044782433,15.114238694488721,0.07849402629089781,521,0,1.1863774671934948,0.09042639951399746,7.622248705009094,0.6987332335864448,0.05324242860545059,0.060546875,,
0.12397383333360777,1200,,,,-0.03990885416666667,0.0421875,-0.9733723958333333,0.006336096253131135,0.28996976285224685,15.111950154371849,0.1562388553240322,1110,0,2.361073107792232,0.7363367193450182,31.20289579297893,0.3938199034285917,0.12289189396251901,0.08326822916666667,,
3.3766331666670424,1300,,,,-0.04791666666666667,0.04479166666666667,-0.9774739583333333,0.014655770558784172,0.6930270328832537,15.106645836474781,0.3124571740884162,1675,0,4.720179561148822,2.569961653201235,54.46517286659011,0.2700291127972109,0.14684738785632195,0.12311197916666666,,
6.6228921666669045,1400,,,,-0.04791666666666667,0.054947916666666666,-0.9826822916666667,0.025635158696879875,1.2749909711460414,15.096611023587803,0.5997506697019426,2220,0,9.054202325029719,5.959455077408331,65.82077304154072,0.21394614067334453,0.14082078878751372,0.1328125,,
9.880669666667036,1500,,,,-0.0447265625,0.05026041666666667,-0.97890625,0.03954880217447831,2.0427250445361262,15.079696627686626,1.0222324946350716,2746,0,15.414955220358442,11.373517508825598,73.78400835368237,0.1796027601424464,0.13251673273378206,0.11803385416666666,,
13.130097666666938,1600,,,,-0.040625,0.028776041666666665,-0.96875,0.05532074766869534,2.9332456616074034,15.05511110248632,1.5918524591092362,3246,0,23.96551580666765,18.804481500326233,78.4648229900023,0.15598682064112396,0.12239463203677473,0.16126302083333333,,
16.378959000000272,1700,,,,-0.0625,0.041796875,-0.976953125,0.07315553379798422,3.9857589950365666,15.022785431794215,2.323460364808654,3720,0,34.904846548600474,28.499115937583674,81.64809612205529,0.13985565415941165,0.11418945489151078,0.30319010416666664,,
19.63930216666687,1800,,,,-0.057291666666666664,0.034765625,-0.9768229166666667,0.09280230678396338,5.174272278592516,14.983589813983295,3.2256794429597018,4174,0,48.33225829345013,40.56165865412335,83.9223924309075,0.12756671385469745,0.10705635132231112,0.27923177083333334,,
22.894294666667033,1900,,,,-0.08782552083333334,0.05651041666666667,-0.9651041666666667,0.11075312068176293,6.221336445163671,14.936861708734208,4.273466496047018,4613,0,63.83217705397972,53.49604033689475,83.80749920267662,0.11629585918236016,0.09746403023593031,0.5270182291666666,,
26.15755066666696,2000,,,,-0.0228515625,0.04876302083333333,-0.9854166666666667,0.11909068706388057,6.702773923001034,14.91174344309499,4.760460238490263,4771,0,70.98676186099651,59.50064331050471,83.81937188346902,0.11265051066590165,0.09442290184143358,0.4353515625,,
29.41931966666691,2000,,,,-0.050390625,0.05813802083333333,-0.9905598958333334,0.11817133371510521,6.643772251363165,14.906541028903794,4.722128140718133,4774,0,70.3905960794341,59.07156466722855,83.91974987945878,0.11247000084302954,0.09438436113978615,0.43509114583333336,,
