Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0.11803333333327125,1100,,,,-0.041666666666666664,0.03717447916666667,-0.9800130208333333,0.0020452157957591972,0.03290366519534727,15.247804870148046,0.10580606957664113,49,0,1.613310185503296,0.010672982706460755,0.6612241024033226,0,0.015570537355349356,0.0787109375,,
0.12442383333295583,1200,,,,-0.058333333333333334,0.025260416666666667,-0.97890625,0.005929333141590258,0.058986894208789414,15.233730994247471,0.5522535128610353,5295,0,8.41288078848671,3.2879280166947638,39.08442435978545,0.01794161333420551,0.007011989957907553,0.33489583333333334,,
3.3762749999998136,1300,,,,-0.05865885416666667,0.03795572916666667,-0.9419270833333333,0.011965615710559858,0.10634231215953979,15.202349780662718,1.3606253450076515,8291,0,20.684701124277016,10.388799300340615,50.227590460292326,0.010236737664950467,0.005141770415443584,0.33326822916666665,,
6.626015499999683,1400,,,,-0.052083333333333336,0.025260416666666667,-0.9716145833333333,0.019129707859691328,0.16894708324404853,15.156340025629873,2.6133876141972276,11155,0,39.609388322785286,22.346646338931876,56.417299916050084,0.007560652896704546,0.00426540402602778,0.16354166666666667,,
9.873077333332969,1500,,,,-0.06041666666666667,0.05911458333333333,-0.9789713541666667,0.029372657567576267,0.24895445721433526,15.087641050938162,4.426367497003339,13808,0,66.78344538270647,42.4723760385546,63.59766222689929,0.00586158001993262,0.003727828535121618,0.46458333333333335,,
13.131929833332887,1600,,,,-0.103125,-0.014973958333333334,-0.9790364583333333,0.03933237605628526,0.3281721106115346,15.000688196565024,6.59877100706992,16131,0,98.98611214495914,66.44322697877772,67.12522669375373,0.004940747281087722,0.0033153850757446112,0.8418619791666667,,
16.38691799999966,1700,,,,0.2482421875,-0.18059895833333334,-0.9310546875,0.05095214774424348,0.41597341768976437,14.892833806646593,9.398501365792777,18386,0,139.97031732812167,98.10186887437698,70.08769587998626,0.004240229067107264,0.0029718737546423238,0.8487630208333333,,
19.651810499999605,1800,,,,-0.06979166666666667,0.06067708333333333,-0.9610677083333333,0.06274042946893865,0.5153882466692027,14.757332563423445,12.861318530800993,20533,0,189.79873838888722,134.90517129452158,71.07813214759503,0.0038203842013203038,0.002715457226377649,0.7537109375,,
22.90946283333314,1900,,,,-0.0517578125,-0.007421875,-0.9515625,0.07478332404584465,0.6146535394045218,14.601122062097916,16.75124313966908,22475,0,244.58693023819924,176.0049028201941,71.96024388382055,0.0034922618330831237,0.00251302982934922,0.4076171875,,
26.163702833332984,1900,,,,-0.04205729166666667,0.03951822916666667,-1.0198567708333333,0.07483544279483305,0.6122181697230744,14.58021583316099,16.695572400387327,22432,0,243.42505519011718,175.79575794839715,72.21772277105258,0.003482557321621089,0.0025150201921054194,0.4078125,,
29.41439333333305,1800,,,,-0.04791666666666667,0.045572916666666664,-1.0110026041666667,0.062472913258322056,0.5081346150019918,14.705895036269455,12.653186838237684,20442,0,186.07642755283226,133.735671688424,71.87136809365094,0.0037995837159613393,0.0027307905552197793,0.7442057291666667,,
32.67140599999962,1700,,,,0.052083333333333336,-0.063671875,-0.9498697916666666,0.051052183578735706,0.4121069066317463,14.819002788793949,9.294536669084042,18297,0,137.73577045897932,97.81868224623707,71.01930520655019,0.004212972188618635,0.0029920197788817233,0.8492838541666666,,
35.92067283333329,1600,,,,-0.05625,0.06295572916666667,-0.9778645833333334,0.04010872268193471,0.33152945451173255,14.914724921665114,6.60680407710024,16024,0,98.53866549423309,67.30235807962362,68.30037710184449,0.0049263348396172526,0.003364463336781066,0.7774739583333333,,
39.17984499999968,1500,,,,-0.04375,0.028841145833333335,-0.9643229166666667,0.029852902669051058,0.2457411736098469,14.995939347319736,4.354239263545042,13720,0,65.29590596815187,42.89123136041179,65.68742458685531,0.005729543691725217,0.0037635345700734063,0.48704427083333335,,
42.44331833333298,1400,,,,-0.04583333333333333,0.04283854166666667,-0.9887369791666667,0.021016286099350006,0.1749503574858458,15.066383087819743,2.6142855580247444,11061,0,39.3878274970235,24.34243641135233,61.80193806762426,0.007187463609898447,0.0044417610345907545,0.21373697916666667,,
45.70447599999972,1300,,,,-0.043359375,0.050520833333333334,-0.9724609375,0.012374753311401431,0.10863191251844026,15.118723486706148,1.3466841413149677,8254,0,20.36014403633622,10.695608596686586,52.53405103127716,0.010156787667400398,0.005335745448333433,0.3318359375,,
48.95984566666633,1200,,,,-0.0705078125,0.027213541666666667,-0.9639973958333333,0.006111068482496669,0.06033390355775977,15.155507559639636,0.5401869021769297,5277,0,8.186806199569194,3.377260034972853,41.254132471254245,0.01786616888977193,0.007369848176877398,0.3649088541666667,,
52.21494699999963,1100,,,,-0.041666666666666664,0.04733072916666667,-0.9745442708333333,0.0017040058009072324,0.0340962590021257,15.177942371881539,0.1023266779789685,0,0,1.553108289303954,0,0,0,0,0.07513020833333334,,
