Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0.18917589999999848,1100,,,,-0.04125,0.0433984375,-0.9794140625,0.0021463920123899615,0.023851947428514073,15.487150744655402,0.12599410902033484,0,0,1.9512899366451117,0,0,0,0,0.0799609375,,
0.19356650000004094,1200,,,,-0.0515625,0.04703125,-0.9791796875,0.01105984613493594,0.08729899737445194,15.462923465825625,0.8289565255440849,5207,0,12.818090756282896,6.031173883253793,47.0524967595414,0.014477912352114035,0.006810853909268267,0.293125,,
3.5682843000001463,1300,,,,-0.075,0.0320703125,-0.9676171875,0.026404985309169734,0.20035521764598585,15.406481298637493,2.354642312703829,7903,0,36.27675212625148,21.853747924521517,60.24226047258477,0.009168042929649662,0.005523014785462712,0.479296875,,
6.981844899999967,1400,,,,-0.035703125,0.044765625,-0.9956640625,0.047265973534124865,0.3328040611989793,15.306189240596554,4.848792108203811,10111,0,74.21652926211306,50.044848329632494,67.43113807952307,0.006650110670188126,0.004484254933143396,0.4541796875,,
10.369174500000007,1500,,,,-0.08375,0.1773046875,-0.8225,0.07387736171912745,0.510921618926345,15.146018958419463,8.993919428628026,12169,0,136.2220744279144,94.14432250364618,69.11214879207304,0.005427174444759733,0.0037506763584963638,0.2855078125,,
13.758467899999987,1600,,,,-0.0601953125,0.272109375,-1.2007421875,0.09816915226266243,0.6803831573311194,14.945371058219305,14.132147747489478,13819,0,211.21017031951678,142.06029965915113,67.25907530385558,0.004793434517767022,0.0032213727258797904,1.1208984375,,
17.138245200000032,1700,,,,-0.048125,0.1407421875,-1.0443359375,0.1274874112593775,0.8636653136916844,14.683131238166164,20.671342234952235,15300,0,303.52004453762544,204.26346867418488,67.2982409313608,0.004228207847142229,0.0028455044784732623,1.3998046875,,
20.514119800000064,1800,,,,0.0014453125,0.1171484375,-0.79328125,0.1547265506927003,1.026783365348017,14.384117718152233,27.91617569517049,16568,0,401.5495144483873,268.44428848569993,66.85216556648585,0.0038249482286068794,0.002557055657544531,1.8016796875,,
23.95074120000012,1900,,,,-0.041875,0.0483203125,-1.0108984375,0.18033426166440883,1.1761396454555846,14.05039756745093,36.024421308587314,17501,0,506.15731377542727,330.49554900770005,65.29514349935268,0.0035587459518690284,0.0023236684188438967,1.43234375,,
27.348945100000154,1900,,,,-0.0521484375,-0.073515625,-1.0555859375,0.1787198995164929,1.1515636910085716,14.019834558240918,35.46808169727234,17380,0,497.25657709504225,325.2743226336922,65.413987020255,0.0035402960427442553,0.0023158398502304465,1.6158984375,,
